Candidate ID,Employment,YearsCode,DevType,OrgSize,LanguageHaveWorkedWith,LanguageAdmired,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,MiscTechHaveWorkedWith,ToolsTechHaveWorkedWith,NEWCollabToolsHaveWorkedWith,OpSysPersonalUse,AISearchDevHaveWorkedWith,AIBen,AIComplex,AIToolCurrentlyUsing,AIEthics,AIChallenges,ICorPM,WorkExp,Frustration,ProfessionalTech,ProfessionalCloud,Industry,WeeklyAvailabilityHours,PersonalityText
11,"Employed, full-time",40,"Developer, full-stack",10 to 19 employees,C#;JavaScript;PowerShell;SQL;TypeScript,C#;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server;SQLite,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Xamarin,MSBuild;Visual Studio Solution,Visual Studio,Windows,Bing AI;ChatGPT,Increase productivity,Bad at handling complex tasks,Writing code;Search for answers,Circulating misinformation or disinformation;Imitating a person's likeness;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks",Individual contributor,40.0,Amount of technical debt;Maintaining security of systems/platforms used in work,DevOps function,Cloud only (single or multi-cloud),Software Development,10–20,"In group projects, this is pretty much my style: For me a mix of chat and meetings works best, and I adapt to what the team needs. I often end up taking ownership of tasks and nudging the team forward. In conflict I’m quite straightforward, as long as the discussion stays respectful. I adapt to the project context: sometimes I’m very strict, sometimes more relaxed. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress."
12,"Employed, full-time",31,"Developer, back-end",100 to 499 employees,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript,Elasticsearch;H2;MariaDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);VMware,Node.js;Spring Boot,Spring Framework,Ansible;Docker;Kubernetes;Maven (build tool),Emacs;IntelliJ IDEA;Visual Studio Code,MacOS;Other Linux-based;Red Hat,Bing AI;GitHub Copilot,Increase productivity;Greater efficiency;Other (please specify):,Bad at handling complex tasks,Writing code;Search for answers;Generating content or synthetic data,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Not everyone uses them",Individual contributor,44.0,Amount of technical debt;Tracking my work;Showing my contributions,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),"Internet, Telecomm or Information Services",40+,"This is roughly how I behave when I’m collaborating with others. For me a mix of chat and meetings works best, and I adapt to what the team needs. I often end up taking ownership of tasks and nudging the team forward. I usually de-escalate tension and look for a quiet way to sort things out. I really value respect and clear communication in any team. I’m okay adjusting timelines if the scope changes and everyone is informed. I’d describe my natural team role as a Completer-Finisher: I’m detail-oriented and like polishing work at the end."
13,"Employed, full-time",22,Other (please specify):,"10,000 or more employees",HTML/CSS;Java;JavaScript,Java,H2;Neo4J;Oracle,Amazon Web Services (AWS);Microsoft Azure,React;Spring Boot,Apache Kafka;NumPy;Pandas;Spring Framework,Ant;Chocolatey;Docker;Gradle;Maven (build tool);NuGet;Terraform,Eclipse;Notepad++;Vim,Windows,ChatGPT;GitHub Copilot,Speed up learning;Other (please specify):,Bad at handling complex tasks,Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;They create more work (more code/PRs to review, etc.)",Individual contributor,10.0,Amount of technical debt;Number of software tools in use;Complexity of tech stack for deployment;Complexity of tech stack for build;Maintaining security of code being produced;Patching/updating core components,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),"Transportation, or Supply Chain",5–10,"In group projects, this is pretty much my style: I usually prefer asynchronous communication so I can think before I answer. For me it’s important that everyone feels heard and included. I’m usually more comfortable supporting whoever is leading and doing my part reliably. I’d describe my natural team role as a Plant: I’m creative and enjoy coming up with new ideas. I usually de-escalate tension and look for a quiet way to sort things out. Clear deadlines motivate me and I try hard to stick to them."
14,"Employed, full-time",31,"Developer, back-end","10,000 or more employees",Go;Python;Ruby;Rust;SQL,Go;Python;SQL,Cassandra;Elasticsearch;InfluxDB;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,"Amazon Web Services (AWS);Digital Ocean;Fly.io;Google Cloud;Linode, now Akamai;Microsoft Azure;OpenStack;Oracle Cloud Infrastructure (OCI)",FastAPI;Flask;Ruby on Rails,CUDA;NumPy;Pandas;RabbitMQ;Scikit-Learn;TensorFlow;Torch/PyTorch,Ansible;Chef;Docker;Homebrew;Kubernetes;Make;npm;Pip;Terraform,Android Studio;CLion;Goland;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Nano;Neovim;Notepad++;PyCharm;RubyMine;Sublime Text;Vim;Visual Studio;Visual Studio Code,Debian,ChatGPT;GitHub Copilot;OpenAI Codex;Perplexity AI;WolframAlpha,Increase productivity;Greater efficiency,Neither good or bad at handling complex tasks,Writing code,Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Energy demand,Don’t trust the output or answers;Lack of proper training and education on new tools;We don’t have the right policies in place to reduce security risks,Individual contributor,25.0,Amount of technical debt;Tracking my work;Showing my contributions;Reliability of tools/systems used in work,DevOps function;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Retail and Consumer Services,10–20,"In group projects, this is pretty much my style: I’m comfortable switching between async and sync communication to fit the situation. I naturally tend to take the lead and organize things when the team needs direction. I’m okay with different working styles as long as we’re honest about expectations. I don’t like heavy arguments and tend to step back rather than fight. How strict I am with deadlines depends on the impact and the current workload. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress."
15,"Employed, full-time",9,"Developer, full-stack",100 to 499 employees,HTML/CSS;Java;JavaScript;TypeScript,Java;TypeScript,MongoDB;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Hetzner;OpenShift,Angular,Apache Kafka;Quarkus,APT;Chocolatey;Docker;Homebrew;Kubernetes;Maven (build tool);npm;Terraform,DataGrip;IntelliJ IDEA;Notepad++;Rider;Visual Studio Code,Windows,GitHub Copilot,Increase productivity;Greater efficiency,"Good, but not great at handling complex tasks",Writing code;Documenting code;Testing code,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Individual contributor,9.0,Amount of technical debt;Complexity of tech stack for build,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Banking/Financial Services,10–20,"Here’s how I usually work when I’m in a team. I enjoy synchronous communication and like to jump on a call to sort things out fast. I prefer shared leadership where responsibilities and decisions are distributed. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress. I really value respect and clear communication in any team. When conflict appears I try to stay calm and avoid unnecessary confrontation. I adapt to the project context: sometimes I’m very strict, sometimes more relaxed."
16,"Employed, full-time",17,"Developer, full-stack",20 to 99 employees,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;Nim;PHP;Rust;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;Lua;Nim;PHP;Rust;SQL,Dynamodb;Elasticsearch;EventStoreDB;MariaDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS),Blazor;Laravel;Nuxt.js;React;Vue.js,.NET (5+) ;React Native,Composer;Docker;Homebrew;Kubernetes;MSBuild;Nix;npm;NuGet;Pacman;pnpm;Terraform;Vite;Yarn,DataGrip;Neovim;Rider,MacOS,Codeium;GitHub Copilot,Increase productivity,Very poor at handling complex tasks,Writing code;Documenting code,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Lack of executive buy-in;We don’t have the right policies in place to reduce security risks;They create more work (more code/PRs to review, etc.)",Individual contributor,17.0,Amount of technical debt;Number of software tools in use;Tracking my work;Showing my contributions;Complexity of tech stack for deployment;Complexity of tech stack for build;Reliability of tools/systems used in work,Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),"Transportation, or Supply Chain",20–40,"If I had to describe myself as a teammate, I’d say this: I’m more comfortable when communication is mostly async and I can reply in my own time. I enjoy collaborating on direction instead of having a single strong leader. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress. If something is wrong I prefer to address it directly and talk openly. Clear deadlines motivate me and I try hard to stick to them."
17,"Employed, full-time",10,"Developer, desktop or enterprise applications",20 to 99 employees,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;PowerShell;Python;Rust,Bash/Shell (all shells);C#;HTML/CSS;Lua;Python;Rust,Microsoft SQL Server,Microsoft Azure,Blazor;Flask,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Xamarin,Docker;npm;Pacman;Pip;Visual Studio Solution,Neovim;Notepad++;Visual Studio;Visual Studio Code,Arch,ChatGPT,Speed up learning,Very poor at handling complex tasks,Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,Don’t trust the output or answers;Lack of proper training and education on new tools;Not everyone uses them;We don’t have the right policies in place to reduce security risks,Individual contributor,1.0,Tracking my work;Showing my contributions,DevOps function,Hybrid (on-prem and cloud),"Internet, Telecomm or Information Services",5–10,Here’s how I usually work when I’m in a team. I try to give constructive feedback and I appreciate it in return. I get energy from live discussions and prefer to talk things through directly. I prefer shared leadership where responsibilities and decisions are distributed. When conflict appears I try to stay calm and avoid unnecessary confrontation. How strict I am with deadlines depends on the impact and the current workload. I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together.
18,"Employed, full-time;Independent contractor, freelancer, or self-employed",24,"Developer, full-stack","1,000 to 4,999 employees",HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL,MariaDB;MongoDB;MySQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Microsoft Azure;VMware,Htmx;jQuery;Laravel;NestJS;Node.js;React;Symfony;Vue.js,RabbitMQ;SwiftUI,Docker;Homebrew;npm,IntelliJ IDEA;PhpStorm;Visual Studio Code;Xcode,Fedora;iOS;iPadOS;MacOS;Other Linux-based;Ubuntu;Windows,Bing AI;ChatGPT;GitHub Copilot,Increase productivity;Greater efficiency;Speed up learning,Bad at handling complex tasks,Learning about a codebase;Documenting code;Debugging and getting help;Testing code;Predictive analytics,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks;They create more work (more code/PRs to review, etc.)",People manager,24.0,Amount of technical debt,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),Software Development,5–10,"In group projects, this is pretty much my style: I’m okay with different working styles as long as we’re honest about expectations. I work best with real-time conversations like quick calls or stand-ups. I like having a clear direction and focusing on delivering my own tasks well. I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together. I usually de-escalate tension and look for a quiet way to sort things out. How strict I am with deadlines depends on the impact and the current workload."
19,"Employed, full-time",11,"Developer, full-stack",20 to 99 employees,C;C#;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,C;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,Cassandra;H2;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS),Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;FastAPI;jQuery;React;Spring Boot;Vue.js;WordPress,.NET (5+) ;.NET Framework (1.0 - 4.8);CUDA;Keras;NumPy;Opencv;Pandas;RabbitMQ;Scikit-Learn;Spring Framework;Torch/PyTorch,APT;Docker;Gradle;Make;Maven (build tool);npm,CLion;Code::Blocks;DataGrip;IntelliJ IDEA;Jupyter Notebook/JupyterLab;PhpStorm;PyCharm;Rider;Vim;WebStorm,Android;Ubuntu;Windows,Bing AI;ChatGPT;WolframAlpha,Increase productivity;Greater efficiency;Improve collaboration;Speed up learning;Improve accuracy in coding;Make workload more manageable,Neither good or bad at handling complex tasks,Learning about a codebase;Writing code;Documenting code;Search for answers;Generating content or synthetic data,Missing or incorrect attribution for sources of data;Energy demand,Don’t trust the output or answers;Not everyone uses them;We don’t have the right policies in place to reduce security risks,People manager,11.0,Tracking my work;Complexity of tech stack for deployment;Complexity of tech stack for build,DevOps function;AI-assisted technology tool(s);Microservices,On-prem,Healthcare,40+,"If I had to describe myself as a teammate, I’d say this: I work best with real-time conversations like quick calls or stand-ups. I often end up taking ownership of tasks and nudging the team forward. I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together. I tend to step between viewpoints and look for a solution everyone can live with. I see deadlines more as guides and like to keep them realistic and negotiable."
20,"Employed, full-time",11,Engineering manager,20 to 99 employees,JavaScript;PHP;Python;SQL;TypeScript,JavaScript;Python;SQL;TypeScript,Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Fly.io;Vercel;Vultr,Astro;Express;Laravel;NestJS;Next.js;Node.js;Nuxt.js;React;Vue.js;WordPress,Electron;RabbitMQ,Docker;Homebrew;Kubernetes;npm;pnpm;Vite;Webpack;Yarn,DataGrip;Fleet;Goland;PyCharm;Visual Studio Code;WebStorm,iOS;iPadOS;MacOS;Ubuntu;Windows,ChatGPT;Claude;GitHub Copilot,Increase productivity;Greater efficiency;Speed up learning,"Good, but not great at handling complex tasks",Project planning;Writing code;Debugging and getting help;Testing code;Committing and reviewing code;Search for answers;Generating content or synthetic data,Energy demand,Lack of executive buy-in,People manager,11.0,Amount of technical debt,Automated testing;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Software Development,20–40,"If I had to describe myself as a teammate, I’d say this: I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together. I work best with real-time conversations like quick calls or stand-ups. My discipline around deadlines depends on the situation, but I try to be transparent. I don’t like heavy arguments and tend to step back rather than fight. For me it’s important that everyone feels heard and included. I’m happy to step up, make decisions and keep everyone aligned when necessary."
21,"Employed, full-time",4,"Developer, full-stack","5,000 to 9,999 employees",C#;HTML/CSS;JavaScript;PowerShell;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,Solr,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;NestJS,.NET (5+) ;.NET Framework (1.0 - 4.8),MSBuild;NuGet;Unity 3D;Visual Studio Solution,Notepad++;Visual Studio;Visual Studio Code,Windows,GitHub Copilot;Visual Studio Intellicode,Speed up learning;Improve accuracy in coding,Bad at handling complex tasks,Writing code;Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,Not everyone uses them,Individual contributor,4.0,Complexity of tech stack for deployment;Reliability of tools/systems used in work,DevOps function;Knowledge sharing community;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Manufacturing,20–40,This is roughly how I behave when I’m collaborating with others. I’m more comfortable when communication is mostly async and I can reply in my own time. I’m okay with different working styles as long as we’re honest about expectations. I naturally tend to take the lead and organize things when the team needs direction. I tend to step between viewpoints and look for a solution everyone can live with. I’m quite strict with myself about timelines and like to finish tasks ahead of time. I’d describe my natural team role as a Implementer: I’m practical and like turning ideas into concrete steps.
22,"Employed, full-time",13,"Developer, full-stack",20 to 99 employees,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Rust;TypeScript,Bash/Shell (all shells);HTML/CSS;Kotlin;Rust,Cassandra;H2;InfluxDB;MariaDB;PostgreSQL;Redis,Microsoft Azure;VMware,Angular;Node.js;Spring Boot,.NET (5+) ;Keras;Ktor,APT;Gradle;Maven (build tool);MSBuild;npm;NuGet;Yarn,Android Studio;CLion;IntelliJ IDEA;PyCharm;Rider;Visual Studio Code;WebStorm,Ubuntu,Google Gemini,Increase productivity;Greater efficiency;Make workload more manageable,Bad at handling complex tasks,Writing code;Search for answers,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks;Other (please specify):",Individual contributor,5.0,Amount of technical debt;Reliability of tools/systems used in work,Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Software Development,20–40,This is roughly how I behave when I’m collaborating with others. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress. I’m more comfortable when communication is mostly async and I can reply in my own time. I see deadlines more as guides and like to keep them realistic and negotiable. I’d rather put the issue on the table and discuss it honestly than let it simmer. I don’t need to be the one in charge; I prefer being a dependable contributor.
23,"Employed, full-time",23,"Developer, full-stack",10 to 19 employees,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;SQL;TypeScript,C#;HTML/CSS;SQL;TypeScript,Microsoft SQL Server;Oracle,Microsoft Azure,Angular;ASP.NET CORE,.NET (5+) ;.NET Framework (1.0 - 4.8),Docker;Kubernetes;MSBuild;npm;NuGet;pnpm;Terraform;Visual Studio Solution,Notepad++;Visual Studio;Visual Studio Code,Windows,ChatGPT;Visual Studio Intellicode,Increase productivity,Bad at handling complex tasks,Writing code,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of executive buy-in;Not everyone uses them;We don’t have the right policies in place to reduce security risks",Individual contributor,8.0,Amount of technical debt;Complexity of tech stack for deployment;Reliability of tools/systems used in work,Automated testing;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Software Development,20–40,"In group projects, this is pretty much my style: I work best with real-time conversations like quick calls or stand-ups. I enjoy collaborating on direction instead of having a single strong leader. I’d rather put the issue on the table and discuss it honestly than let it simmer. I’m okay adjusting timelines if the scope changes and everyone is informed. I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together."
24,"Employed, full-time",16,"Developer, full-stack",100 to 499 employees,Bash/Shell (all shells);C;C#;Go;Java;JavaScript;PHP;PowerShell;Ruby;Rust;SQL;TypeScript,C;C#;Go;PHP;Rust;SQL,Cassandra;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Hetzner;Oracle Cloud Infrastructure (OCI),Angular;ASP.NET CORE;Django;Express;FastAPI;Flask;Laravel;NestJS;Next.js;Node.js;Ruby on Rails;Spring Boot;Svelte,.NET (5+) ;Electron;GTK;Qt;React Native;Spring Framework,Ansible;Composer;Docker;Gradle;Kubernetes;Make;Maven (build tool);MSBuild;Pacman;pnpm;Podman;Vite;Webpack;Yarn,Android Studio;Emacs;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Visual Studio;Visual Studio Code;VSCodium,Android;Other Linux-based,Bing AI;ChatGPT;Claude;Google Gemini;Phind;WolframAlpha;Tabnine;Visual Studio Intellicode,Increase productivity,Bad at handling complex tasks,Documenting code;Debugging and getting help;Committing and reviewing code;Search for answers;Generating content or synthetic data,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;We don’t have the right policies in place to reduce security risks",Individual contributor,4.0,Amount of technical debt;Showing my contributions;Maintaining security of code being produced;Maintaining security of systems/platforms used in work;Reliability of tools/systems used in work,DevOps function;Automated testing;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Software Development,5–10,"In group projects, this is pretty much my style: I get energy from live discussions and prefer to talk things through directly. I prefer shared leadership where responsibilities and decisions are distributed. If something is wrong I prefer to address it directly and talk openly. For me it’s important that everyone feels heard and included. Clear deadlines motivate me and I try hard to stick to them. I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together."
25,"Employed, full-time",19,"Developer, back-end",100 to 499 employees,Python,Python,Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS);Fly.io;Hetzner,Django,RabbitMQ;Ruff,Docker,Vim;Visual Studio Code,Ubuntu,GitHub Copilot;Google Gemini,Increase productivity;Speed up learning,Bad at handling complex tasks,Learning about a codebase;Writing code;Testing code,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them;We don’t have the right policies in place to reduce security risks",People manager,10.0,Amount of technical debt;Complexity of tech stack for deployment;Complexity of tech stack for build,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Software Development,5–10,"If I had to describe myself as a teammate, I’d say this: I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together. I’m more comfortable when communication is mostly async and I can reply in my own time. I’m quite strict with myself about timelines and like to finish tasks ahead of time. In conflict I’m quite straightforward, as long as the discussion stays respectful. I try to give constructive feedback and I appreciate it in return. I often end up taking ownership of tasks and nudging the team forward."
